Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
9969,So Many Cubes,PC,N/A,Unknown  ,exagongames  ,,,,,,,
9970,Glover,PS,1999,Atari  ,Interactive Studios Ltd.  ,,,0.09,0.06,,0.01,0.17
9971,Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004,Majesco  ,Majesco Games  ,,,0.12,0.05,,0.0,0.17
9972,Final Fantasy XIV: Heavensward,PS4,2015,Square Enix  ,Square Enix  ,,,,0.09,0.06,0.02,0.17
9973,James Cameron's Dark Angel,PS2,2002,Sierra Entertainment  ,Radical Entertainment  ,,,0.08,0.07,,0.02,0.17
9974,Bee Movie Game,X360,2007,Activision  ,Beenox  ,6.8,,0.16,0.0,,0.01,0.17
9975,Mahjong Fight Club,PSP,2004,Konami  ,Konami  ,,,,,0.17,0.0,0.17
9976,Luxor 3,Wii,2008,Mumbo Jumbo  ,MumboJumbo  ,,,0.16,,,0.01,0.17
9977,Bomberman 64: The Second Attack!,N64,2000,Vatical Entertainment  ,Hudson Soft  ,,,0.05,0.01,0.11,0.0,0.17
9978,Turok 3: Shadow of Oblivion,N64,2000,Acclaim Entertainment  ,Acclaim Studios Austin  ,,,0.12,0.05,,0.0,0.17
9979,World Driver Championship,N64,1999,Midway Games  ,Boss Game Studios  ,,,0.14,0.03,,0.0,0.17
9980,Spawn: Armageddon,XB,2003,Namco  ,Point of View  ,,,0.13,0.04,,0.01,0.17
9981,Ashes Cricket 2009,PS3,2009,Codemasters  ,Transmission Games  ,6.8,,,0.16,,0.01,0.17
9982,Final Fantasy XIV: Stormblood,PS4,2017,Square Enix  ,Square Enix  ,,,0.05,0.06,0.04,0.02,0.17
9983,Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004,Majesco  ,Majesco Games  ,,,0.12,0.05,,0.0,0.17
9984,NHL 07,PSP,2006,EA Sports  ,EA Montreal  ,7.6,,0.13,0.02,,0.02,0.17
9985,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004,Nintendo  ,Nintendo  ,,,0.12,0.05,,0.0,0.17
9986,Rise of the Argonauts,X360,2008,Codemasters  ,Codemasters  ,5.2,,0.03,0.12,,0.01,0.17
9987,Major League Baseball 2K9,PS2,2009,2K Sports  ,Visual Concepts  ,,,0.08,0.06,,0.02,0.17
9988,Gundam Assault Survive,PSP,2010,Namco Bandai  ,Bandai Namco Games  ,,,,,0.17,,0.17
9989,My French Coach,DS,2007,Ubisoft  ,Sensory Sweep Studios  ,,,0.14,0.01,,0.01,0.17
9990,Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008,Disney Interactive Studios  ,Magenta Software  ,,,0.08,0.06,,0.02,0.17
9991,Fate/stay night [Réalta Nua],PS2,2007,Kadokawa Shoten  ,Type-Moon  ,,,,,0.17,,0.17
9992,Freedom Planet,PC,2014,Galaxy Trail  ,Galaxy Trail  ,,,,,,,
9993,Disney's Home on the Range,GBA,2004,Disney Interactive Studios  ,Artificial Mind and Movement  ,5.0,,0.12,0.04,,0.0,0.17
9994,MotoGP 09/10,X360,2010,Capcom  ,Monumental Games  ,7.0,,0.07,0.09,,0.02,0.17
9995,Wolcen: Lords of Mayhem,PC,N/A,Unknown  ,WOLCEN Studio  ,,,,,,,
9996,Just Dance 2019,PS4,2018,Ubisoft  ,Ubisoft Paris  ,,,0.11,0.03,,0.03,0.17
9997,Monsters vs. Aliens,X360,2009,Activision  ,Beenox  ,6.5,,0.12,0.03,,0.02,0.17
9998,Disney Sing It: Family Hits,PS3,2010,Disney Interactive Studios  ,Zoe Mode  ,,,0.11,0.04,,0.02,0.17
9999,Distance,PC,2020,Refract Studios  ,Unknown  ,,,,,,,
10000,Guilty Gear Xrd: Sign,PS4,2014,Aksys Games  ,Arc System Works  ,,,0.11,,0.04,0.02,0.17
10001,Just Dance 2018,WiiU,2017,Ubisoft  ,Ubisoft Paris  ,,,0.07,0.09,,0.01,0.17
10002,Space Griffon VF-9,PS,1995,Atlus  ,Panther Software  ,,,0.02,0.02,0.12,0.01,0.17
10003,Disgaea PC,PC,2016,NIS America  ,Nippon Ichi Software  ,,9.5,,,,,
10004,The Mean Greens - Plastic Warfare,PC,N/A,Unknown  ,Virtual Basement LLC  ,,,,,,,
10005,Camp Rock: The Final Jam,DS,2010,Disney Interactive Studios  ,Disney Interactive Studios  ,,,0.14,0.02,,0.01,0.17
10006,.hack//G.U. Vol.1//Rebirth,PS2,2006,Namco Bandai  ,CyberConnect2  ,6.6,,,,0.17,,0.17
10007,N3 II: Ninety-Nine Nights,X360,2010,Konami  ,Q Entertainment / Phantagram / FeelPlus  ,,,0.06,0.06,0.04,0.01,0.17
10008,Harvest Moon: The Lost Valley,3DS,2014,Natsume  ,Natsume  ,,,0.13,0.02,,0.02,0.17
10009,Bound By Flame,PC,2014,Focus Home Interactive  ,Spiders  ,,,,0.0,,0.0,0.0
10010,Dungeons & Dragons: Chronicles of Mystara,PC,N/A,Unknown  ,Iron Galaxy Studios  ,,,,,,,
10011,CastleStorm,PC,N/A,Unknown  ,Zen Studios  ,,,,,,,
10012,Fairytale Fights,PS3,2009,Playlogic Game Factory  ,Playlogic Game Factory  ,4.8,,0.11,0.04,,0.02,0.17
10013,Bratz Kidz,Wii,2008,Game Factory  ,Neko Entertainment  ,,,0.16,,,0.01,0.17
10014,The Cursed Crusade,PS3,2011,Atlus  ,Kylotonn Entertainment  ,4.0,,0.07,0.07,0.01,0.02,0.17
10015,Prototype: Biohazard Bundle,PS4,2016,Activision  ,Activision  ,,,0.14,,,0.03,0.17
10016,Gyakuten Saiban 3,GBA,2004,Capcom  ,Capcom  ,,,,,0.16,0.0,0.17
10017,Gallop Racer 2001,PS2,2001,Tecmo  ,Tecmo  ,,,0.05,0.04,0.06,0.01,0.17
10018,Magical Starsign (US sales),DS,2006,Nintendo  ,Brownie Brown  ,,,0.14,0.02,,,0.17
10019,Nightmare Creatures II,PS,2000,Konami  ,Kalisto Entertainment  ,,,0.09,0.06,,0.01,0.17
10020,Phantom Breaker: Battle Grounds,PC,N/A,Unknown  ,MAGES. Inc.  ,,,,,,,
10021,Hot Wheels: Beat That!,X360,2007,Activision  ,Eutechnyx  ,,,0.15,0.0,,0.01,0.17
10022,Space Rangers HD: A War Apart,PC,N/A,Unknown  ,SNK Games  ,,,,,,,
10023,Catwoman,PS2,2004,Electronic Arts  ,Argonaut Games  ,4.6,,0.08,0.06,,0.02,0.17
10024,Garfield: Lasagna World Tour,PS2,2008,Conspiracy Entertainment  ,EKO Software  ,,,0.08,0.06,,0.02,0.17
10025,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004,Majesco  ,Majesco Games  ,,,0.12,0.04,,0.0,0.17
10026,Fairytale Fights,X360,2009,Playlogic Game Factory  ,Playlogic Game Factory  ,4.9,,0.14,0.02,,0.01,0.17
10027,Bomberman B-Daman,SNES,1996,Hudson Soft  ,Hudson Soft  ,,,,,0.17,,0.17
10028,Sonic Mania,PC,2017,Sega  ,PagodaWest Games  ,,,0.01,,,0.0,0.01
10029,Beat Down: Fists of Vengeance,PS2,2005,Capcom  ,Cavia Inc.  ,,,0.04,0.03,0.09,0.01,0.17
10030,Terminator 3: The Redemption,PS2,2004,Atari  ,Paradigm Entertainment  ,,,0.08,0.06,,0.02,0.17
10031,World Destruction League: Thunder Tanks,PS,2000,3DO  ,3DO  ,,,0.09,0.06,,0.01,0.17
10032,Green Lantern: Rise of the Manhunters,PS3,2011,Warner Bros. Interactive  ,Griptonite Games  ,6.5,,0.09,0.05,,0.02,0.17
10033,BlazBlue: Central Fiction,PS4,2016,Aksys Games  ,Arc System Works  ,,,0.1,,0.05,0.02,0.17
10034,Fighter Within,XOne,2013,Ubisoft  ,Daoka  ,,,0.08,0.07,,0.01,0.17
10035,Hook (2015),PC,N/A,Unknown  ,Maciej Targoni  ,,,,,,,
10036,Reloaded,PS,1996,Interplay  ,Gremlin Interactive  ,,,0.09,0.06,,0.01,0.17
10037,A Game of Thrones - Genesis,PC,N/A,Unknown  ,Cyanide Studios  ,,,,,,,
10038,Jillian Michaels Fitness Ultimatum 2011,Wii,2010,D3 Publisher  ,Collision Studios  ,,,0.16,,,0.01,0.17
10039,Arizona Sunshine,PC,N/A,Unknown  ,Vertigo Gaming Inc.  ,,,,,,,
10040,Sword of the Samurai,PS2,N/A,Unknown  ,LightWeight  ,,,,,0.17,,0.17
10041,SSX On Tour,GC,2005,EA Sports BIG   ,EA Canada  ,,,0.13,0.03,,0.0,0.17
10042,Goodbye Deponia,PC,2013,Daedalic Entertainment  ,Daedalic Entertainment  ,,,,0.07,,0.0,0.07
10043,Fuzion Frenzy 2,X360,2007,Microsoft  ,Hudson Soft  ,,,0.14,0.01,,0.01,0.17
10044,MXGP 3: The Official Motocross Videogame,PS4,2017,Milestone  ,Milestone  ,,,0.06,0.08,,0.03,0.17
10045,James Bond 007: Everything or Nothing,GBA,2003,Electronic Arts  ,Griptonite Games  ,7.1,,0.12,0.04,,0.0,0.17
10046,Naruto Shippuden: Ultimate Ninja 5,PS2,2009,Namco Bandai  ,CyberConnect2  ,,,,,0.17,,0.17
10047,F1 2014,PC,2014,Codemasters  ,Codemasters Birmingham  ,,,,0.09,,0.01,0.1
10048,Shrek Extra Large,GC,2002,TDK Mediactive  ,Digital Illusions  ,3.0,,0.13,0.03,,0.0,0.17
10049,Final Fantasy V,PS,1999,SquareSoft  ,SquareSoft  ,,,,,0.16,0.01,0.17
10050,Brunswick Cosmic Bowling,Wii,2010,GameMill  ,CokeM Interactive  ,,,0.16,,,0.01,0.17
10051,World Tour Soccer 2006,PS2,2005,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.08,0.06,,0.02,0.17
10052,Forestation,PC,N/A,Unknown  ,Wonderbox Games  ,,,,,,,
10053,Gunvalkyrie,XB,2002,Sega  ,Smilebit  ,6.1,,0.13,0.04,,0.01,0.17
10054,NickToons Racing,PS,2001,Hasbro Interactive  ,Software Creations  ,,,0.09,0.06,,0.01,0.17
10055,VR Golf '97,PS,1996,VR Sports  ,Gremlin Interactive  ,,,0.09,0.06,,0.01,0.17
10056,State of Emergency,XB,2003,Rockstar Games  ,VIS Entertainment  ,,,0.13,0.04,,0.01,0.17
10057,Off-World Interceptor Extreme,PS,1995,Crystal Dynamics  ,Crystal Dynamics  ,,,0.09,0.06,,0.01,0.17
10058,ZhuZhu Puppies,DS,2011,Activision  ,Black Lantern Studios  ,,,0.12,0.03,,0.01,0.17
10059,Monkey Island: Special Edition Collection,PC,2011,LucasArts  ,LucasArts  ,,,,0.14,,0.03,0.17
10060,Serious Sam Classics: Revolution,PC,2014,Devolver Digital  ,Croteam  ,,,,,,,
10061,Disney Golf,PS2,2002,Electronic Arts  ,Tikipod  ,,,0.07,0.06,0.02,0.02,0.17
10062,The Naked Brothers Band: The Video Game,PS2,2008,THQ  ,Barking Lizards Technologies  ,,,0.08,0.06,,0.02,0.17
10063,Valkyrie Drive: Bhikkhuni,PSV,2016,PQube  ,Marvelous Entertainment  ,,,,0.05,0.11,0.01,0.17
10064,CSI: Fatal Conspiracy,X360,2010,Ubisoft  ,Telltale Games  ,,,0.11,0.04,,0.01,0.17
10065,G-Force,X360,2009,Disney Interactive Studios  ,Eurocom Entertainment Software  ,7.4,,0.11,0.05,,0.02,0.17
10066,Major League Baseball 2K13,PS3,2013,2K Sports  ,"Visual Concepts, Ltd.  ",,,0.14,,,0.03,0.17
10067,Clock Tower II: The Struggle Within,PS,1999,Agetec  ,Human Entertainment  ,4.4,,0.02,0.01,0.12,0.01,0.17
10068,Batman Beyond: Return of the Joker,PS,2000,Kemco  ,Kemco  ,,,0.09,0.06,,0.01,0.17
10069,Sudoku Gridmaster,DS,2006,Nintendo  ,Hudson Soft  ,,,0.13,0.02,,0.01,0.17
10070,Buzz! Brain of the UK,PS3,2009,Sony Computer Entertainment  ,Relentless Software  ,,,,0.15,,0.01,0.17
10071,Epistory - Typing Chronicles,PC,N/A,Unknown  ,Fishing Cactus  ,,,,,,,
10072,Greed Corp,PC,2010,W!Games  ,W!Games  ,,,,0.0,,0.0,0.01
10073,Backyard NFL Football '10,Wii,2009,Atari  ,Humongous Entertainment  ,,,0.16,,,0.01,0.17
10074,Hyperdimension Neptunia Victory,PS3,2013,Compile Heart  ,Idea Factory  ,,,0.05,0.04,0.06,0.02,0.17
10075,Mega Man Network Transmission,GC,2003,Capcom  ,Arika  ,,,0.13,0.03,,0.0,0.17
10076,BoneBone: Rise of the Deathlord,PC,N/A,Unknown  ,Vladis Fire  ,,,,,,,
10077,Pursuit Force,PSP,2006,Sony Computer Entertainment  ,Bigbig Studios  ,7.4,,0.14,0.01,,0.02,0.17
10078,Densetsu no Stafi 4,DS,2006,Nintendo  ,TOSE  ,,,,,0.17,,0.17
10079,TRON: Evolution,DS,2010,Disney Interactive Studios  ,n-Space  ,,,0.11,0.04,,0.01,0.17
10080,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2009,Atlus  ,Atlus Co.  ,,,,,0.17,,0.17
10081,Dishonored: Death of the Outsider,PC,2017,Bethesda Softworks  ,Arkane Studios  ,,,0.01,0.03,,0.0,0.04
10082,Tribal Pass,PC,N/A,Unknown  ,Tribe Tea  ,,,,,,,
10083,TT Isle of Man: Ride on the Edge,PS4,2018,Big Ben Interactive  ,Kylotonn  ,,,0.05,0.09,,0.03,0.17
10084,Bomberman Land,Wii,2008,Hudson Soft  ,Hudson Soft  ,6.0,,0.11,0.02,0.03,0.01,0.17
10085,Surf's Up,Wii,2007,Ubisoft  ,Ubisoft Montreal  ,,,0.15,0.0,,0.01,0.17
10086,Tokimeki Memorial: Private Collection,PS,1996,Konami  ,Konami  ,,,,,0.16,0.01,0.17
10087,Axiom Verge,NS,2017,Thomas Happ Games  ,Thomas Happ Games  ,7.5,,0.12,0.03,,0.02,0.17
10088,NBA Street Homecourt,PS3,2007,Electronic Arts  ,EA Canada  ,,,0.13,0.01,0.0,0.02,0.17
10089,RC Revenge Pro,PS2,2001,Acclaim Entertainment  ,Acclaim Entertainment  ,,,0.08,0.06,,0.02,0.17
10090,Journey,PSN,2012,Sony Computer Entertainment America  ,thatgamecompany  ,,,0.04,0.11,,0.01,0.17
10091,Chaotic: Shadow Warriors,PS3,2009,Activision  ,Activision  ,,,0.15,,,0.02,0.17
10092,Dementium: The Ward,DS,2007,Gamecock  ,Renegade Kid  ,7.5,,0.15,0.01,,0.01,0.17
10093,Backyard Wrestling: Don't Try This at Home,XB,2003,Eidos Interactive  ,Paradox Development  ,6.0,,0.13,0.04,,0.01,0.17
10094,Gauntlet: Dark Legacy,XB,2002,Midway Games  ,Midway Games West  ,,,0.13,0.04,,0.01,0.17
10095,Far East of Eden II: Manji Maru,PS2,2003,Hudson Soft  ,Hudson Soft  ,,,,,0.17,,0.17
10096,Lost Kingdoms,GC,2002,Activision  ,From Software  ,7.3,,0.1,0.02,0.04,0.0,0.17
10097,Naval Assault: The Killing Tide,X360,2010,505 Games  ,Artech Studios  ,,,0.08,0.07,,0.02,0.17
10098,I'm A Celebrity: Get Me Out of Here!,Wii,2009,Mindscape  ,Mindscape  ,,,,0.16,,0.01,0.17
10099,F1 2018,XOne,2018,Codemasters  ,Codemasters Birmingham  ,,,0.05,0.1,,0.01,0.17
10100,NCAA Basketball 09,PS3,2008,EA Sports  ,EA Canada  ,,,0.15,,,0.01,0.17
10101,Last Tale,PC,N/A,Unknown  ,YarGri  ,,,,,,,
10102,Matchbox Cross Town Heroes,GBA,2002,THQ  ,Magellan Interactive  ,,,0.12,0.04,,0.0,0.17
10103,Age of Empires III: Complete Collection,PC,2009,Microsoft Game Studios  ,Ensemble Studios  ,,,0.01,0.13,,0.03,0.17
10104,Wolfenstein 3D,GBA,2002,BAM! Entertainment  ,Stalker Entertainment  ,,,0.12,0.04,,0.0,0.17
10105,Nobunaga no Yabou: Tenshoki,SNES,1996,KOEI  ,Koei  ,,,,,0.17,0.0,0.17
10106,Angry Birds Trilogy,PS3,2012,Activision  ,Rovio Mobile  ,,,0.12,0.02,,0.03,0.17
10107,Learning to Spell,DS,2010,505 Games  ,505 Games  ,,,0.16,,,0.01,0.17
10108,Pac-Man World 3,DS,2005,Namco  ,Blitz Games  ,,,0.15,0.0,,0.01,0.17
10109,Shawn Johnson Gymnastics,Wii,2010,Zoo Games  ,Artefacts Studio  ,,,0.16,,,0.01,0.17
10110,NASCAR '14,X360,2014,Deep Silver  ,Eutechnyx  ,,,0.15,,,0.02,0.17
10111,Super Power League,SNES,1993,Hudson Soft  ,Hudson Soft  ,,,,,0.17,,0.17
10112,The Last Hope: Trump vs Mafia - North Korea,PC,N/A,Unknown  ,Atomic Fabrik  ,,,,,,,
10113,Phantasy Star Online 2,PSV,2013,Sega  ,Unknown  ,,,,,0.17,,0.17
10114,Street Fighter Alpha 2,SNES,1996,Capcom  ,Capcom  ,8.0,,,,0.17,,0.17
10115,25 To Life,XB,2006,Eidos Interactive  ,Avalanche Software / Ritual Entertainment  ,,,0.12,0.04,,0.01,0.17
10116,Murdered: Soul Suspect,XOne,2014,Square Enix  ,Airtight Games  ,,,0.08,0.07,,0.01,0.17
10117,Driver: San Francisco,Wii,2011,Ubisoft  ,Ubisoft Reflections  ,7.0,,0.06,0.09,,0.02,0.17
10118,Daily Chthonicle: Editor's Edition,PC,N/A,Unknown  ,Sinister Systems  ,,,,,,,
10119,NASCAR '15,X360,2015,Deep Silver  ,Eutechnyx  ,,,0.15,,,0.02,0.17
10120,Plantera,PC,N/A,Unknown  ,VaragtP  ,,,,,,,
10121,Dig or Die,PC,N/A,Unknown  ,Gaddy Games  ,,,,,,,
10122,Sega Superstars,PS2,2004,Sega  ,Sonic Team  ,,,0.08,0.06,,0.02,0.17
10123,Disney Friends,DS,2008,Disney Interactive Studios  ,Amaze Entertainment  ,,,0.12,0.03,,0.01,0.17
10124,Zoo Keeper,DS,2005,Ignition Entertainment  ,"Buddiez, Inc.  ",7.2,,0.1,0.01,0.05,0.01,0.17
10125,Midway Arcade Treasures,GC,2003,Midway Games  ,Digital Eclipse  ,6.8,,0.13,0.03,,0.0,0.17
10126,Leisure Suit Larry: Magna Cum Laude,XB,2004,VU Games  ,High Voltage Software  ,,,0.12,0.04,,0.01,0.17
10127,Mousetrap / Operation / Simon,GBA,2005,DSI Games  ,Gravity-I  ,,,0.12,0.04,,0.0,0.17
10128,Classic NES Series: Donkey Kong,GBA,2004,Nintendo  ,Nintendo  ,6.5,,,,0.17,,0.17
10129,NBA 09: The Inside,PS2,2008,Sony Computer Entertainment  ,SCE San Diego Studio  ,,,0.08,0.06,,0.02,0.17
10130,Resident Evil,SAT,1997,Capcom  ,Nextech  ,7.3,,,,0.17,,0.17
10131,F1 2011,3DS,2011,Codemasters  ,Codemasters  ,5.5,,0.07,0.09,,0.01,0.17
10132,Aliens: Infestation,DS,2011,Sega  ,Way Forward  ,8.5,,0.09,0.05,,0.02,0.17
10133,TOEIC Test Training DS,DS,2007,IE Institute  ,IE Institute  ,,,,,0.17,,0.17
10134,Sports Party,NS,2018,Ubisoft  ,Magic Pockets  ,,,0.06,0.1,,0.01,0.17
10135,Harvest Moon: Light of Hope,NS,2018,Natsume  ,Natsume  ,,,0.12,0.03,,0.02,0.17
10136,Itoi Shigesato no Bass Tsuri No. 1,SNES,1997,Nintendo  ,HAL Laboratory  ,,,,,0.17,,0.17
10137,Greenwood the Last Ritual,PC,N/A,Unknown  ,AO2Game  ,,,,,,,
10138,Cubivore: Survival of the Fittest,GC,2002,Atlus  ,Saru Brunei / Intelligent Systems  ,7.1,,0.01,0.0,0.15,0.0,0.17
10139,Doctor Lautrec and the Forgotten Knights,3DS,2011,Konami  ,Konami  ,,,0.07,0.05,0.03,0.01,0.17
10140,TransFormers Animated: The Game,DS,2008,Activision  ,Artificial Mind and Movement  ,,,0.15,0.01,,0.01,0.17
10141,Blood Bowl,X360,2010,SouthPeak Interactive  ,Cyanide Studio  ,6.4,,0.13,0.02,,0.01,0.17
10142,FlatOut,XB,2005,Empire Interactive  ,Bugbear Entertainment  ,,,0.12,0.04,,0.01,0.17
10143,Armor Ambush,2600,1982,Mattel Interactive  ,Mattel  ,,,0.15,0.01,,0.0,0.17
10144,Death Trap,2600,1983,Avalon Interactive  ,Avalon Hill  ,,,0.15,0.01,,0.0,0.17
10145,Mr. Do!'s Castle,2600,1984,Parker Bros.  ,Parker Bros  ,,,0.15,0.01,,0.0,0.17
10146,Sumikko Gurashi: Omise Hajimerundesu,3DS,2015,Nippon Columbia  ,Nippon Columbia  ,,,,,0.17,,0.17
10147,Easy Piano,DS,2010,Valcon Games  ,Game Life  ,,,0.04,0.11,,0.02,0.17
10148,Parodius,SAT,1996,Konami  ,Konami  ,,,,,0.16,0.0,0.17
10149,Chuck E. Cheese's Party Games,Wii,2010,UFO Interactive  ,Tommo  ,,,0.15,,,0.01,0.16
10150,Gyakuten Saiban 3,GBA,2004,Capcom  ,Capcom  ,,,,,0.16,,0.16
10151,Taz Wanted,PS2,2002,Atari  ,Blitz Games  ,5.5,,0.08,0.06,,0.02,0.16
10152,Pac-Man Championship Edition 2 + Arcade Game Series,XOne,2016,Namco Bandai Games  ,Namco Bandai Games  ,,,0.15,,,0.02,0.16
10153,Hannah Montana: Rock Out the Show,PSP,2009,Disney Interactive Studios  ,"Page 44 Studios, LLC  ",,,0.13,0.02,,0.02,0.16
10154,Ride 2,PS4,2017,Milestone S.r.l  ,Milestone S.r.l.  ,,,0.07,0.06,0.01,0.03,0.16
10155,Vehicular Combat League presents Motor Mayhem,PS2,2001,Atari  ,Beyond Games  ,,,0.08,0.06,,0.02,0.16
10156,PoPoLoCrois: Hajimari no Bouken,PS2,2002,Sony Computer Entertainment  ,SCEA  ,,,,,0.16,,0.16
10157,High On Racing,PC,N/A,Unknown  ,SilentFuture  ,,,,,,,
10158,Star Wars: Super Bombad Racing,PS2,2001,LucasArts  ,Lucas Learning  ,,,0.08,0.06,,0.02,0.16
10159,Castlevania Judgment,Wii,2008,Konami  ,Konami / Eighting  ,4.6,7.5,0.12,0.02,0.01,0.01,0.16
10160,Final Fantasy Type-0 HD,PC,N/A,Unknown  ,Square Enix  ,,,,,,,
10161,NBA Live 08,Wii,2007,Electronic Arts  ,EA Canada  ,,,0.15,0.0,,0.01,0.16
10162,Hamster Heroes,Wii,2020,Unknown  ,Data Design Interactive  ,,,0.16,,,,0.16
10163,Hot Wheels Velocity X,GBA,2002,THQ  ,Saffire Corporation  ,5.2,,0.12,0.04,,0.0,0.16
10164,Akiba's Trip: Undead & Undressed,PSV,2014,Xseed Games  ,Acquire  ,,,0.04,0.02,0.08,0.02,0.16
10165,Alien Resurrection,PS,2000,Fox Interactive  ,Argonaut Games  ,5.2,,0.09,0.06,,0.01,0.16
10166,World Tour Soccer 2005,PS2,2004,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.08,0.06,,0.02,0.16
10167,The Butterfly Sign: Human Error,PC,N/A,Unknown  ,Quantum Phoenix Studio  ,,,,,,,
10168,Splatterhouse,PS3,2010,Namco Bandai  ,BottleRocket  ,,,0.13,0.02,,0.02,0.16
10169,Star Ocean: Till the End of Time Director's Cut,PS2,2004,Square Enix  ,tri-Ace  ,,,,,,,
10170,Leisure Suit Larry: Box Office Bust,X360,2009,Codemasters  ,Team17 Software  ,,,0.14,0.01,,0.01,0.16
10171,Create,PS3,2010,Electronic Arts  ,EA Bright Light  ,6.4,,0.11,0.03,,0.02,0.16
10172,Trivial Pursuit: Bet You Know It,Wii,2011,Electronic Arts  ,EA Salt Lake  ,,,0.1,0.04,,0.02,0.16
10173,Ashes of the Singularity: Escalation,PC,N/A,Unknown  ,Stardock  ,,,,,,,
10174,Dead Rising 4: Frank's Big Package,PS4,2017,Capcom  ,Capcom  ,,,0.08,0.05,,0.03,0.16
10175,Clash of the Titans: The Videogame,X360,2010,Namco Bandai  ,Game Republic  ,3.8,,0.08,0.06,0.0,0.02,0.16
10176,Valdis Story: Abyssal City,PC,2013,Endless Fluff Games  ,Unknown  ,,,,,,,
10177,Act of Aggression,PC,2015,Focus Home Interactive  ,Eugen Systems  ,,,,0.01,,0.0,0.01
10178,Dungeon Siege: Throne of Agony,PSP,2006,2K Games  ,SuperVillain Studios  ,,,0.13,0.02,,0.02,0.16
10179,ESPN College Hoops,PS2,2003,Sega  ,Visual Concepts  ,,,0.08,0.06,,0.02,0.16
10180,Theatrhythm Dragon Quest,3DS,2015,Square Enix  ,Square Enix  ,,,,,0.16,,0.16
10181,Family Game Night 4: The Game Show,Wii,2011,Electronic Arts  ,Electronic Arts  ,,,0.12,0.03,,0.01,0.16
10182,F1 Championship Season 2000,PS2,2000,Electronic Arts  ,EA Sports  ,,,0.06,0.05,0.03,0.02,0.16
10183,Putty Squad,PS4,2013,System 3  ,System 3  ,,,0.06,0.07,,0.03,0.16
10184,Bakugan Battle Brawlers: Defenders of the Core,PSP,2010,Activision  ,Now Production  ,,,0.09,0.04,,0.03,0.16
10185,Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009,Konami  ,Konami  ,,,,,0.16,,0.16
10186,Robotech: Battlecry,GC,2002,TDK Mediactive  ,Vicious Cycle  ,7.2,,0.13,0.03,,0.0,0.16
10187,Hexcells,PC,N/A,Unknown  ,Matthew Brown  ,,,,,,,
10188,Anna - Extended Edition,PC,N/A,Unknown  ,Dreampainters  ,,,,,,,
10189,Zapper: One Wicked Cricket!,PS2,2002,Infogrames  ,Blitz Games  ,5.7,,0.08,0.06,,0.02,0.16
10190,PARTICLE MACE,PC,N/A,Unknown  ,Andy Wallace  ,,,,,,,
10191,Bomberman Land,PS,2000,Hudson Soft  ,Hudson Soft  ,,,,,0.15,0.01,0.16
10192,Paws & Claws: Pet Resort,GBA,2006,THQ  ,ValuSoft  ,,,0.12,0.04,,0.0,0.16
10193,King's Bounty: Warriors of the North,PC,N/A,Unknown  ,1C-SoftClub  ,,,,,,,
10194,Kya: Dark Lineage,PS2,2003,Atari  ,Eden Games  ,,,0.08,0.06,,0.02,0.16
10195,Aquaria,PC,2007,Bit Blot  ,Bit Blot  ,,,,,,,
10196,NPPL Championship Paintball 2009,PS3,2008,Activision  ,Sand Grain Studios  ,,,0.15,0.0,,0.02,0.16
10197,Curious George,GBA,2006,Namco  ,Torus Games  ,6.6,,0.12,0.04,,0.0,0.16
10198,12 Labours of Hercules,PC,2015,Jetdogs Studios  ,Jetdogs Studios  ,,,,,,,
10199,Lethal Skies II,PS2,2003,Sammy Corporation  ,"Asmik Ace Entertainment, Inc.  ",,,0.08,0.06,,0.02,0.16
10200,Guilty Gear Judgment,PSP,2006,Majesco  ,Arc System Works  ,7.5,,0.13,0.0,0.02,0.01,0.16
10201,Puzzle Quest: Galactrix,DS,2009,D3 Publisher  ,Infinite Interactive  ,,,0.15,0.0,,0.01,0.16
10202,NCAA Football 09 All-Play,Wii,2008,EA Sports  ,Team Fusion  ,5.3,,0.15,,,0.01,0.16
10203,Lara Croft and the Temple of Osiris,PC,2014,Square Enix  ,Crystal Dynamics  ,,,,0.02,,0.0,0.02
10204,Fracture,PS3,2008,LucasArts  ,Day 1 Studios  ,4.0,,0.11,0.04,,0.02,0.16
10205,Tom and Jerry: Infurnal Escape,GBA,2003,NewKidCo  ,Cinegroupe  ,,,0.12,0.04,,0.0,0.16
10206,Vampyr,PC,2018,Focus Home Interactive  ,DONTNOD Entertainment  ,,,,0.0,,0.0,0.0
10207,Eiyuu Densetsu: Zero no Kiseki,PSP,2010,Falcom Corporation  ,Nihon Falcom Corporation  ,,,,,0.16,,0.16
