Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
312,FIFA 13,PS3,2012,EA Sports  ,EA Canada  ,,,1.07,5.13,0.13,1.68,8.01
313,Halo 2,XB,2004,Microsoft Game Studios  ,Bungie Studios  ,9.6,,6.82,1.53,0.05,0.08,8.49
314,Inazuma Eleven,Series,2008,Level 5  ,Level 5  ,,,,,,,
315,Kinect Sports,Series,2010,Microsoft Game Studios  ,Rare|BigPark  ,,,,,,,
316,Moto Racer,Series,1997,Electronic Arts  ,SK Software International|Delphine Software International|Microids|Adeline Software International|Artefacts Studio  ,,,,,,,
317,Unreal,Series,1998,GT Interactive  ,Epic Games|Digital Extremes|Legend Entertainment  ,,,,,,,
318,The Sims 3,PC,2009,Electronic Arts  ,EA Redwood Shores  ,8.5,,1.01,6.46,,0.5,7.96
319,Romance of the Three Kingdoms,Series,1985,KOEI  ,Koei  ,,,,,,,
320,Grand Theft Auto: Liberty City Stories,PSP,2005,Rockstar Games  ,Rockstar Leeds  ,8.8,,2.9,2.83,0.24,1.74,7.72
321,Pac-Man,2600,1982,Atari  ,Atari  ,,,7.28,0.45,,0.08,7.81
322,God of War III,PS3,2010,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.2,9.4,2.74,1.36,0.12,0.6,4.81
323,Pokémon Platinum Version,DS,2009,Nintendo  ,Game Freak  ,8.3,8.9,2.76,1.73,2.69,0.54,7.72
324,The Legend of Zelda: Ocarina of Time,N64,1998,Nintendo  ,Nintendo EAD  ,9.9,10.0,4.1,1.89,1.45,0.16,7.6
325,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Sony Computer Entertainment  ,Naughty Dog  ,8.6,,3.78,2.17,1.31,0.31,7.58
326,Call of Duty: Advanced Warfare,PS4,2014,Activision  ,Sledgehammer Games  ,8.5,,2.84,3.34,0.14,1.22,7.53
327,Crysis,Series,2007,Electronic Arts  ,Crytek  ,,,,,,,
328,Call of Duty: World at War,X360,2008,Activision  ,Treyarch  ,8.5,7.8,4.88,1.91,,0.71,7.5
329,Baldur's Gate,Series,2000,Interplay Entertainment Corp.  ,BioWare  ,,,,,,,
330,Super Mario Bros. 2,NES,1988,Nintendo  ,Nintendo EAD  ,,,5.39,1.18,0.7,0.19,7.46
331,Super Mario Galaxy 2,Wii,2010,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,3.59,2.37,0.98,0.62,7.57
332,Super Smash Bros. Melee,GC,2001,Nintendo  ,HAL Laboratory  ,9.2,,4.41,1.04,1.39,0.22,7.07
333,Call of Duty: Black Ops 3,XOne,2015,Activision  ,Treyarch  ,,,4.63,2.04,0.02,0.68,7.37
334,Battlefield 3,X360,2011,Electronic Arts  ,Dice  ,8.5,,4.47,2.12,0.06,0.69,7.35
335,Ace Attorney,Series,2005,Capcom  ,Capcom  ,,,,,,,
336,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016,Nintendo  ,Level 5  ,,,0.22,0.2,3.19,0.04,3.65
337,Ark,Series,2017,Studio Wildcard  ,Studio Wildcard  ,,,,,,,
338,The Legend of Zelda: Twilight Princess,Wii,2006,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18
